TransactionID,CustomerID,TransactionDate,Amount,Currency,PaymentMethod,Status
1,1261,12/09/2024,2322.59,GBP,Credit Card,Completed
2,56,18/03/2021,4902.94,USD,Credit Card,Completed
3,1885,07/08/2021,4479.01,GBP,Credit Card,Completed
4,1538,25/12/2020,167.06,GBP,Credit Card,Completed
5,30,07/12/2024,2663.8,USD,Debit Card,Failed
6,844,13/06/2024,3948.51,USD,Credit Card,Completed
7,1992,05/06/2025,2808.47,USD,Debit Card,Completed
8,893,01/01/2024,2120.62,USD,Debit Card,Completed
9,606,06/09/2021,4848.77,EUR,Bank Transfer,Pending
10,1720,04/11/2021,256.5,GBP,Bank Transfer,Failed
11,1588,30/05/2024,2620.31,USD,Debit Card,Pending
12,278,05/07/2021,4947.21,GBP,Credit Card,Completed
13,385,30/01/2022,2890.27,EUR,Debit Card,Failed
14,694,20/12/2023,4118.64,EUR,Bank Transfer,Failed
15,1233,22/01/2020,2389.37,EUR,Credit Card,Pending
16,1232,17/08/2025,795.73,USD,Debit Card,Pending
17,1809,12/06/2021,2788.77,USD,Bank Transfer,Pending
18,1677,18/10/2021,4173.78,GBP,Debit Card,Completed
19,496,12/08/2021,4564.9,EUR,Debit Card,Pending
20,163,16/06/2023,702.3,USD,Bank Transfer,Pending
21,655,25/09/2020,2298.32,USD,Bank Transfer,Completed
22,1269,12/10/2022,4663.11,GBP,Credit Card,Pending
23,6,08/09/2022,387.46,EUR,Bank Transfer,Pending
24,407,07/05/2025,168.13,GBP,Credit Card,Failed
25,1029,12/09/2022,2041.7,GBP,Credit Card,Pending
26,710,11/01/2024,3098.1,USD,Debit Card,Completed
27,1412,26/06/2023,3575.19,GBP,Debit Card,Completed
28,13,09/07/2021,586.21,EUR,Debit Card,Completed
29,19,28/07/2021,4692.72,USD,Bank Transfer,Failed
30,1004,22/04/2025,1161.24,EUR,Debit Card,Completed
31,1699,09/12/2025,4169.05,EUR,Credit Card,Pending
32,1896,27/04/2025,3061.1,EUR,Debit Card,Completed
33,145,09/12/2022,533.84,USD,Debit Card,Failed
34,800,25/02/2023,3292.51,EUR,Credit Card,Pending
35,880,07/04/2021,1979.32,USD,Debit Card,Completed
36,1860,18/03/2022,788.28,GBP,Debit Card,Failed
37,732,19/04/2025,214.37,EUR,Debit Card,Pending
38,429,31/07/2023,2593.79,USD,Credit Card,Pending
39,1218,03/08/2023,483.17,EUR,Credit Card,Failed
40,136,02/03/2022,4843.53,EUR,Bank Transfer,Pending
41,159,29/04/2024,4183.31,USD,Bank Transfer,Completed
42,583,25/05/2022,4582.52,EUR,Credit Card,Failed
43,1002,22/02/2023,3150.95,USD,Bank Transfer,Completed
44,798,21/01/2024,1577.56,USD,Debit Card,Failed
45,882,05/05/2023,3905.91,USD,Debit Card,Pending
46,423,19/06/2020,4468.5,USD,Credit Card,Failed
47,663,28/03/2021,45.26,GBP,Bank Transfer,Failed
48,1976,15/07/2024,1189.54,USD,Credit Card,Completed
49,620,15/08/2025,1259.59,EUR,Credit Card,Pending
50,1170,18/12/2023,2739.62,GBP,Debit Card,Pending
51,457,30/10/2024,4508.41,EUR,Credit Card,Completed
52,1030,22/03/2021,1363.63,GBP,Debit Card,Completed
53,1675,21/03/2022,4891.88,EUR,Debit Card,Completed
54,1412,16/08/2022,1978.8,USD,Bank Transfer,Completed
55,809,05/09/2022,1732.3,USD,Credit Card,Completed
56,726,01/05/2023,2004.06,EUR,Bank Transfer,Failed
57,1904,17/02/2022,2274.74,USD,Bank Transfer,Completed
58,1002,18/03/2024,4988.13,USD,Debit Card,Completed
59,76,21/08/2021,2300.96,USD,Debit Card,Completed
60,1554,30/11/2025,1525.94,GBP,Bank Transfer,Completed
61,841,19/12/2024,333.13,GBP,Credit Card,Failed
62,125,28/12/2022,1539.55,EUR,Bank Transfer,Completed
63,1280,16/10/2024,2088.88,EUR,Debit Card,Completed
64,924,10/07/2025,858.83,EUR,Credit Card,Failed
65,368,09/05/2021,3787.63,EUR,Debit Card,Completed
66,718,13/10/2022,3453.58,USD,Bank Transfer,Failed
67,606,09/01/2021,4025.79,GBP,Credit Card,Pending
68,1049,19/09/2023,802.33,EUR,Bank Transfer,Completed
69,48,06/12/2024,1172.9,USD,Bank Transfer,Completed
70,1547,08/06/2024,4175.56,USD,Debit Card,Failed
71,685,11/01/2024,1403.06,GBP,Bank Transfer,Failed
72,258,08/12/2025,2101.04,EUR,Debit Card,Completed
73,54,16/09/2023,2102.92,USD,Credit Card,Pending
74,1779,02/04/2024,4290.49,GBP,Bank Transfer,Completed
75,187,24/02/2025,4734.05,GBP,Debit Card,Pending
76,953,19/10/2023,1571.96,GBP,Bank Transfer,Pending
77,239,16/03/2020,1823.74,USD,Credit Card,Completed
78,1924,16/11/2024,2723.27,EUR,Credit Card,Pending
79,827,13/08/2021,1361.1,USD,Bank Transfer,Pending
80,1287,17/03/2025,2568.35,USD,Credit Card,Completed
81,575,10/06/2022,2133.48,GBP,Debit Card,Completed
82,1790,17/01/2020,1112.8,USD,Debit Card,Failed
83,465,10/01/2021,1300.65,GBP,Credit Card,Pending
84,520,03/02/2025,454.13,EUR,Credit Card,Completed
85,804,21/09/2021,1690.58,USD,Debit Card,Failed
86,76,14/07/2022,1402.33,GBP,Debit Card,Pending
87,1806,27/08/2022,3315.67,GBP,Debit Card,Failed
88,1204,05/11/2023,2213.32,GBP,Debit Card,Pending
89,195,15/08/2020,3470.56,USD,Debit Card,Completed
90,1460,05/04/2021,2862.12,EUR,Credit Card,Completed
91,64,05/09/2025,4554.46,EUR,Debit Card,Pending
92,285,10/08/2024,3670.86,GBP,Bank Transfer,Completed
93,831,02/04/2023,2041.54,GBP,Bank Transfer,Pending
94,224,22/02/2022,860.62,USD,Credit Card,Failed
95,950,14/02/2020,1690.97,EUR,Credit Card,Completed
96,34,09/04/2022,4880.28,GBP,Debit Card,Failed
97,1892,22/11/2021,4478.97,USD,Bank Transfer,Failed
